name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group
JUSTICE LEAGUE CHRONICLES,GBA,2003,Platform,0.03,0.01,0.0,0.0,43.0,75.0,E,0.04,Nintendo
TOM CLANCY'S HAWX,PC,2009,Action,0.0,0.03,0.0,0.01,70.0,73.0,T,0.04,PC
ENEMY FRONT,X360,2014,Shooter,0.02,0.02,0.0,0.0,35.0,58.0,M,0.04,Xbox
DOKO DEMO ISSHO LET'S GAKKOU!,PSP,2006,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
CONFLICT DESERT STORM II - BACK TO BAGDHAD,GC,2004,Shooter,0.03,0.01,0.0,0.0,71.0,75.0,,0.04,Nintendo
HONDA ATV FEVER,Wii,2010,Racing,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
TOP GUN,DS,2006,Simulation,0.04,0.0,0.0,0.0,48.0,75.0,E10+,0.04,Nintendo
M&M'S BEACH PARTY,Wii,2009,Misc,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
B'S-LOG PARTY♪,PSP,2010,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
KING ARTHUR,GC,2004,Action,0.03,0.01,0.0,0.0,60.0,75.0,T,0.04,Nintendo
CHICKEN SHOOT,GBA,2005,Action,0.03,0.01,0.0,0.0,71.0,75.0,,0.04,Nintendo
SHANTAE AND THE PIRATE'S CURSE,3DS,2015,Platform,0.01,0.0,0.03,0.0,82.0,85.0,E10+,0.04,Nintendo
YOWAMUSHI PEDAL,3DS,2015,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
DAI SENRYAKU VII MODERN MILITARY TACTICS,XB,2003,Strategy,0.03,0.01,0.0,0.0,74.0,88.0,E,0.04,Xbox
WHITE ALBUM 2 SHIAWASE NO MUKOUGAWA,PS3,2012,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
MONSTER TRUX ARENAS SPECIAL EDITION,Wii,2007,Racing,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
AVATAR THE GAME,PC,2009,Action,0.0,0.04,0.0,0.01,71.0,75.0,,0.05,PC
GO GO ACKMAN 3,SNES,1995,Platform,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
ADVANCE GUARDIAN HEROES,GBA,2004,Role-Playing,0.03,0.01,0.0,0.0,65.0,75.0,E,0.04,Nintendo
CASTLE OF SHIKIGAMI III,Wii,2007,Shooter,0.04,0.0,0.0,0.0,67.0,76.0,T,0.04,Nintendo
NOBUNAGA'S AMBITION SPHERE OF INFLUENCE,PS4,2014,Strategy,0.03,0.0,0.0,0.01,80.0,81.0,T,0.04,Playstation
FIFA STREET 2,DS,2006,Sports,0.04,0.0,0.0,0.0,43.0,75.0,E,0.04,Nintendo
STAR X,GBA,2002,Shooter,0.03,0.01,0.0,0.0,60.0,75.0,E,0.04,Nintendo
CITY LIFE WORLD EDITION,PC,2007,Simulation,0.0,0.04,0.0,0.0,75.0,82.0,E,0.04,PC
THE KING OF FIGHTERS KYO,PS,1998,Fighting,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
RECORD OF AGAREST WAR MARRIAGE,PSP,2012,Role-Playing,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
SAN-X LAND THEME PARK DE ASOBOU!,DS,2006,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
CORPSE PARTY BOOK OF SHADOWS,PSP,2011,Adventure,0.0,0.0,0.04,0.0,67.0,82.0,M,0.04,Playstation
428 FUUSA SARETA SHIBUYA DE,PSP,2009,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
STARRY ? SKY AFTER SPRING,PSP,2009,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
TENNIS NO OJI-SAMA DOKIDOKI SURVIVAL - SANROKU NO MYSTIC,PS2,2006,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
MECHANIC ESCAPE,PS3,2012,Platform,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
NARUTO SHIPPUDEN DAIRANSEN! KAGE BUNSHIN EMAKI,DS,2008,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
WARTECH SENKO NO RONDE,X360,2006,Fighting,0.04,0.0,0.0,0.0,60.0,61.0,T,0.04,Xbox
TWILIGHT SYNDROME KINJIRATERA TOSHI DENSETSU,DS,2008,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
TRUE LOVE STORY 3,PS2,2001,Simulation,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
JERRY RICE AND NITUS' DOG FOOTBALL,Wii,2011,Sports,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
LITTLE BATTLERS EXPERIENCE W,PSV,2012,Role-Playing,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
THE SMURFS,PS,1998,Action,0.02,0.02,0.0,0.0,71.0,75.0,,0.04,Playstation
TEENAGE MUTANT NINJA TURTLES MUTANTS IN MANHATTAN,X360,2016,Action,0.01,0.03,0.0,0.0,71.0,43.0,T,0.04,Xbox
STRIKE FORCE BOWLING,XB,2004,Sports,0.03,0.01,0.0,0.0,54.0,75.0,E,0.04,Xbox
IL-2 STURMOVIK 1946,PC,2006,Simulation,0.0,0.04,0.0,0.01,86.0,88.0,T,0.05,PC
CHESSMASTER,GBA,2002,Misc,0.03,0.01,0.0,0.0,76.0,75.0,E,0.04,Nintendo
BLOOD WILL TELL TEZUKA OSAMU'S DORORO,PS2,2004,Adventure,0.02,0.02,0.0,0.01,71.0,75.0,,0.05,Playstation
CORALINE,DS,2009,Action,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
RED NINJA END OF HONOR,PS2,2005,Action,0.02,0.02,0.0,0.01,47.0,50.0,M,0.05,Playstation
PRAETORIANS,PC,2003,Strategy,0.0,0.04,0.0,0.0,78.0,82.0,T,0.04,PC
KIDS LEARN MUSIC A+ EDITION,DS,2011,Misc,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
THE WOLF AMONG US,PSV,2014,Adventure,0.03,0.0,0.0,0.01,71.0,84.0,M,0.04,Playstation
SMASH COURT TENNIS 3,PSP,2007,Sports,0.01,0.01,0.01,0.01,68.0,63.0,E,0.04,Playstation
KANUCHI SHIROKI TSUBASA NO SHOU,PS2,2008,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
SX SUPERSTAR,XB,2003,Racing,0.03,0.01,0.0,0.0,53.0,75.0,T,0.04,Xbox
KATEKYOO HITMAN REBORN! BATTLE ARENA,PSP,2008,Fighting,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
LEGO FRIENDS,3DS,2013,Action,0.0,0.04,0.0,0.0,43.0,83.0,E,0.04,Nintendo
SAINT SEIYA THE HADES,PS2,2006,Fighting,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
SAKI PORTABLE,PSP,2010,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
NARUTO SHIPPUUDEN SHINOBI RETSUDEN III,DS,2009,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
GUILD WARS TRILOGY,PC,2005,Role-Playing,0.0,0.03,0.0,0.01,71.0,88.0,T,0.04,PC
SPRAY,Wii,2008,Action,0.04,0.0,0.0,0.0,42.0,45.0,E10+,0.04,Nintendo
OUTLAW TENNIS,XB,2005,Sports,0.03,0.01,0.0,0.0,66.0,77.0,M,0.04,Xbox
ORE NO IMOUTO GA KONNA NI KAWAII WAKE GA NAI HAPPY END,PS3,2013,Simulation,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
SAINT SEIYA SOLDIERS' SOUL,PS3,2015,Fighting,0.0,0.0,0.04,0.0,71.0,63.0,T,0.04,Playstation
NIKE+ KINECT TRAINING,X360,2012,Sports,0.02,0.01,0.0,0.0,71.0,75.0,,0.03,Xbox
